age,region,sexe,type,entendu
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
24,Nord,female,non_normee,1
24,Nord,female,normee,1
24,Nord,female,non_normee,1
24,Nord,female,normee,1
24,Nord,female,normee,1
24,Nord,female,non_normee,1
24,Nord,female,normee,1
24,Nord,female,normee,1
24,Nord,female,normee,1
24,Nord,female,normee,1
24,Nord,female,normee,1
24,Nord,female,normee,1
24,Nord,female,non_normee,1
24,Nord,female,normee,1
24,Nord,female,non_normee,1
24,Nord,female,normee,1
24,Nord,female,normee,1
24,Nord,female,normee,1
24,Nord,female,non_normee,1
24,Nord,female,normee,1
24,Nord,female,non_normee,1
24,Nord,female,normee,1
24,Nord,female,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,sud_ouest,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,sud_ouest,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,sud_ouest,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,sud_ouest,1
37,Nord,male,normee,1
37,Nord,male,non_normee,1
37,Nord,male,normee,1
37,Nord,male,non_normee,1
37,Nord,male,normee,1
37,Nord,male,normee,1
37,Nord,male,non_normee,1
37,Nord,male,non_normee,1
37,Nord,male,normee,1
37,Nord,male,non_normee,1
37,Nord,male,normee,1
37,Nord,male,normee,1
37,Nord,male,normee,1
37,Nord,male,normee,1
37,Nord,male,normee,1
37,Nord,male,non_normee,1
37,Nord,male,non_normee,1
37,Nord,male,normee,1
37,Nord,male,non_normee,1
37,Nord,male,normee,1
22,Sud_Ouest,female,non_normee,1
22,Sud_Ouest,female,normee,1
22,Sud_Ouest,female,sud_ouest,1
22,Sud_Ouest,female,non_normee,1
22,Sud_Ouest,female,sud_ouest,1
22,Sud_Ouest,female,normee,1
22,Sud_Ouest,female,sud_ouest,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,sud_ouest,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,sud_ouest,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,sud_ouest,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,sud_ouest,1
22,Sud_Ouest,male,normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,sud_ouest,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,sud_ouest,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,sud_ouest,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,sud_ouest,1
24,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,sud_ouest,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,non_normee,1
24,Sud,female,non_normee,1
24,Sud,female,normee,1
24,Sud,female,non_normee,1
24,Sud,female,normee,1
24,Sud,female,sud_ouest,1
24,Sud,female,non_normee,1
24,Sud,female,normee,1
24,Sud,female,non_normee,1
24,Sud,female,non_normee,1
24,Sud,female,normee,1
24,Sud,female,normee,1
24,Sud,female,non_normee,1
24,Sud,female,non_normee,1
24,Sud,female,non_normee,1
24,Sud,female,normee,1
24,Sud,female,non_normee,1
24,Sud,female,normee,1
24,Sud,female,normee,1
24,Sud,female,non_normee,1
24,Sud,female,normee,1
24,Sud,female,non_normee,1
24,Sud,female,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,sud_ouest,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,sud_ouest,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,sud_ouest,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,non_normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,sud_ouest,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,sud_ouest,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,sud_ouest,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,sud_ouest,1
21,Sud_Ouest,female,non_normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,sud_ouest,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,sud_ouest,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,sud_ouest,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,non_normee,1
21,Nord_Ouest,male,normee,1
21,Nord_Ouest,male,sud_ouest,1
21,Nord_Ouest,male,normee,1
23,Nord,male,non_normee,1
23,Nord,male,normee,1
23,Nord,male,normee,1
23,Nord,male,non_normee,1
23,Nord,male,normee,1
23,Nord,male,normee,1
23,Nord,male,non_normee,1
23,Nord,male,normee,1
23,Nord,male,non_normee,1
23,Nord,male,normee,1
23,Nord,male,normee,1
23,Nord,male,non_normee,1
23,Nord,male,normee,1
23,Nord,male,normee,1
23,Nord,male,non_normee,1
23,Nord,male,normee,1
23,Nord,male,normee,1
23,Nord,male,non_normee,1
23,Nord,male,non_normee,1
23,Nord,male,normee,1
18,Nord,female,non_normee,1
18,Nord,female,normee,1
18,Nord,female,non_normee,1
18,Nord,female,normee,1
18,Nord,female,sud_ouest,1
18,Nord,female,normee,1
18,Nord,female,normee,1
18,Nord,female,non_normee,1
18,Nord,female,normee,1
18,Nord,female,non_normee,1
18,Nord,female,normee,1
18,Nord,female,non_normee,1
18,Nord,female,normee,1
18,Nord,female,non_normee,1
18,Nord,female,normee,1
18,Nord,female,normee,1
18,Nord,female,non_normee,1
18,Nord,female,normee,1
18,Nord,female,normee,1
18,Nord,female,non_normee,1
18,Nord,female,normee,1
18,Nord,female,normee,1
18,Nord,female,non_normee,1
18,Nord,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,sud_ouest,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,sud_ouest,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,sud_ouest,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,sud_ouest,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,sud_ouest,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,non_normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,non_normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,non_normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,non_normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
19,Sud_Ouest,female,non_normee,1
19,Sud_Ouest,female,normee,1
19,Sud_Ouest,female,non_normee,1
19,Sud_Ouest,female,normee,1
19,Sud_Ouest,female,normee,1
19,Sud_Ouest,female,sud_ouest,1
19,Sud_Ouest,female,normee,1
19,Sud_Ouest,female,non_normee,1
19,Sud_Ouest,female,normee,1
19,Sud_Ouest,female,normee,1
19,Sud_Ouest,female,sud_ouest,1
19,Sud_Ouest,female,non_normee,1
19,Sud_Ouest,female,normee,1
19,Sud_Ouest,female,normee,1
19,Sud_Ouest,female,sud_ouest,1
19,Sud_Ouest,female,normee,1
19,Sud_Ouest,female,non_normee,1
19,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,sud_ouest,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,sud_ouest,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,sud_ouest,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,non_normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,sud_ouest,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,normee,1
24,Sud_Ouest,female,sud_ouest,1
24,Sud_Ouest,female,normee,1
22,Nord_Ouest,female,non_normee,1
22,Nord_Ouest,female,normee,1
22,Nord_Ouest,female,normee,1
22,Nord_Ouest,female,normee,1
22,Nord_Ouest,female,non_normee,1
22,Nord_Ouest,female,normee,1
22,Nord_Ouest,female,non_normee,1
22,Nord_Ouest,female,normee,1
22,Nord_Ouest,female,non_normee,1
22,Nord_Ouest,female,normee,1
22,Nord_Ouest,female,normee,1
22,Nord_Ouest,female,non_normee,1
22,Nord_Ouest,female,normee,1
22,Nord_Ouest,female,normee,1
22,Nord_Ouest,female,non_normee,1
22,Nord_Ouest,female,normee,1
22,Nord_Ouest,female,non_normee,1
22,Nord_Ouest,female,non_normee,1
22,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
20,Nord_Ouest,female,non_normee,1
20,Nord_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,sud_ouest,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,sud_ouest,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,sud_ouest,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,sud_ouest,1
18,Sud_Ouest,female,normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,non_normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,non_normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,non_normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,normee,1
18,Paris et alentours,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,sud_ouest,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,sud_ouest,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,sud_ouest,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,non_normee,1
21,Sud_Ouest,female,normee,1
21,Sud_Ouest,female,sud_ouest,1
21,Sud_Ouest,female,normee,1
21,Sud,female,normee,1
21,Sud,female,normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,normee,1
21,Sud,female,sud_ouest,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
20,Paris et alentours,female,non_normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,non_normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,sud_ouest,1
20,Paris et alentours,female,non_normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,non_normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,sud_ouest,1
20,Paris et alentours,female,non_normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,non_normee,1
20,Paris et alentours,female,non_normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,non_normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,non_normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,normee,1
20,Paris et alentours,female,sud_ouest,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,sud_ouest,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,sud_ouest,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,sud_ouest,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,non_normee,1
18,Sud_Ouest,female,normee,1
18,Sud_Ouest,female,sud_ouest,1
18,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,sud_ouest,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,sud_ouest,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,sud_ouest,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,non_normee,1
23,Sud_Ouest,female,normee,1
23,Sud_Ouest,female,sud_ouest,1
23,Sud_Ouest,female,non_normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,non_normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,non_normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,non_normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,non_normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,non_normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,non_normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,non_normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,non_normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,non_normee,1
21,Paris et alentours,female,normee,1
21,Paris et alentours,female,non_normee,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,sud_ouest,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,non_normee,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,sud_ouest,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,sud_ouest,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,normee,1
21,Sud_Ouest,male,sud_ouest,1
23,Sud_Ouest,male,non_normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,sud_ouest,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,normee,1
23,Sud_Ouest,male,non_normee,1
23,Sud_Ouest,male,normee,1
54,Hors metropole,male,non_normee,1
54,Hors metropole,male,non_normee,1
54,Hors metropole,male,non_normee,1
54,Hors metropole,male,non_normee,1
54,Hors metropole,male,normee,1
54,Hors metropole,male,normee,1
54,Hors metropole,male,normee,1
54,Hors metropole,male,normee,1
54,Hors metropole,male,normee,1
54,Hors metropole,male,normee,1
54,Hors metropole,male,normee,1
54,Hors metropole,male,non_normee,1
54,Hors metropole,male,normee,1
54,Hors metropole,male,normee,1
54,Hors metropole,male,non_normee,1
54,Hors metropole,male,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,sud_ouest,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,non_normee,1
20,Sud_Ouest,female,normee,1
20,Sud_Ouest,female,normee,1
23,Nord_Ouest,male,non_normee,1
23,Nord_Ouest,male,normee,1
23,Nord_Ouest,male,normee,1
23,Nord_Ouest,male,non_normee,1
23,Nord_Ouest,male,normee,1
23,Nord_Ouest,male,sud_ouest,1
23,Nord_Ouest,male,non_normee,1
23,Nord_Ouest,male,normee,1
23,Nord_Ouest,male,non_normee,1
23,Nord_Ouest,male,normee,1
23,Nord_Ouest,male,non_normee,1
23,Nord_Ouest,male,normee,1
23,Nord_Ouest,male,normee,1
23,Nord_Ouest,male,normee,1
23,Nord_Ouest,male,non_normee,1
23,Nord_Ouest,male,normee,1
23,Nord_Ouest,male,normee,1
23,Nord_Ouest,male,non_normee,1
